model,variant,fold,iterations,seeds,seconds,roc_auc,pr_auc,f1_m1.6,f1_m1.8,f1_m2,f1_oracle
lgb,fpte_a40,4,146,"42,2026,777",4.9,0.8079295820458611,0.3997877285483167,0.4110671936758893,0.4156891495601173,0.4094326725905673,0.4164859002169197
lgb,fpte_a40,3,136,"42,2026,777",6.2,0.7927833642095152,0.382080457804177,0.4101017715793441,0.4195019291476675,0.4152181042964906,0.4203555245730219
lgb,fpte_a40,2,190,"42,2026,777",7.8,0.7863620405730335,0.418856269532896,0.4144542772861357,0.4192439862542955,0.4311454311454311,0.4351620947630922
lgb,fpte_a40,1,224,"42,2026,777",10.4,0.791938568763718,0.4511307100512397,0.4183787822189017,0.4222608695652174,0.4191343963553531,0.4256013045250713
cat,base,4,102,42,8.0,0.7918956740933485,0.3824195837778029,0.3960474308300395,0.3951612903225806,0.391660970608339,0.3974255832662912
cat,base,3,419,42,31.5,0.7892153058825031,0.3731144560561116,0.4025631360723709,0.4110838302350053,0.4080026238110856,0.4185644277889881
cat,base,2,256,42,27.3,0.7787269542834949,0.4003963402653471,0.3982300884955752,0.4082474226804123,0.4176319176319176,0.4223416965352449
cat,base,1,313,42,38.1,0.7908629374369673,0.4505717093652163,0.4400448262980949,0.4354782608695652,0.4328018223234624,0.4407033295922185
cat,fpte,4,190,42,11.5,0.7944939827614246,0.3880794590599918,0.3881422924901185,0.3951612903225806,0.3964456596035543,0.3998574483250178
cat,fpte,3,335,42,26.7,0.7868897272163043,0.3716158308760439,0.4093479080286468,0.4110838302350053,0.4093145293538865,0.4134366925064599
cat,fpte,2,281,42,29.6,0.7845641547621454,0.4035526315613518,0.4240412979351032,0.4233676975945017,0.4247104247104247,0.4317102137767221
cat,fpte,1,291,42,36.4,0.7812426688502841,0.4249854955318772,0.4198729921553978,0.4229565217391304,0.4217377155873739,0.4238143289606458
lgb,base,1,233,42,6.7,0.7904853359724151,0.44756900418580176,0.42136720209189393,0.41739130434782606,0.4210868857793687,0.4244870501177262
